latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.39759,119.90972,334.8,0.47,0.4,2025-08-04,543,N20,VIIRS,n,2,304.54,1.98,D,0.0
-9.78678,119.88746,332.66,0.47,0.39,2025-08-04,543,N20,VIIRS,n,2,299.59,3.54,D,0.0
-9.77764,120.37685,338.16,0.49,0.4,2025-08-04,543,N20,VIIRS,n,2,301.3,5.24,D,0.0
-10.21233,120.28567,344.12,0.48,0.4,2025-08-04,543,N20,VIIRS,n,2,303.6,6.68,D,0.0
-9.86232,119.81802,339.54,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.02,3.47,D,0.0
-8.48268,118.15387,345.3,0.41,0.37,2025-08-04,543,N20,VIIRS,n,2,307.51,4.84,D,0.0
-10.22738,123.5771,337.8,0.51,0.49,2025-08-04,543,N20,VIIRS,n,2,303.87,4.96,D,0.0
-9.42474,119.66776,334.14,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,299.1,4.77,D,0.0
-9.52075,118.99394,335.32,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,299.7,3.67,D,0.0
-8.38286,123.95496,337.35,0.58,0.52,2025-08-04,543,N20,VIIRS,n,2,301.6,8.85,D,0.0
-8.38286,123.95698,336.88,0.58,0.52,2025-08-04,543,N20,VIIRS,n,2,300.23,5.58,D,0.0
-9.42113,119.66722,340.17,0.46,0.39,2025-08-04,543,N20,VIIRS,n,2,298.24,4.77,D,0.0
-8.57763,122.70025,335.29,0.47,0.48,2025-08-04,543,N20,VIIRS,n,2,296.69,8.65,D,0.0
-8.69582,120.9051,345.62,0.54,0.42,2025-08-04,543,N20,VIIRS,n,2,299.38,8.69,D,0.0
-8.69572,120.90219,332.39,0.55,0.42,2025-08-04,543,N20,VIIRS,n,2,299.33,9.03,D,0.0
-8.73013,118.25083,339.99,0.41,0.37,2025-08-04,543,N20,VIIRS,n,2,303.28,3.87,D,0.0
-8.57684,122.70496,334.89,0.47,0.48,2025-08-04,543,N20,VIIRS,n,2,296.01,7.12,D,0.0
-8.54801,118.60429,338.82,0.42,0.38,2025-08-04,543,N20,VIIRS,n,2,306.33,3.07,D,0.0
-8.47724,118.65668,337.17,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,305.31,3.29,D,0.0
-8.47785,118.65276,335.4,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,304.77,3.29,D,0.0
-8.46438,118.67046,334.58,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,304.08,3.3,D,0.0
-8.46152,118.66597,341.18,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,307.22,5.11,D,0.0
-8.50395,118.35215,348.1,0.42,0.37,2025-08-04,543,N20,VIIRS,n,2,308.82,12.48,D,0.0
-8.45111,118.66424,345.39,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,307.6,12.92,D,0.0
-8.45136,118.6402,338.2,0.43,0.38,2025-08-04,543,N20,VIIRS,n,2,306.43,3.31,D,0.0
-4.40712,121.76196,343.59,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,298.4,8.81,D,0.0
-4.44477,121.71967,349.82,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,297.6,8.94,D,0.0
-4.51207,121.65019,331.65,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.8,5.42,D,0.0
-4.52109,121.65892,347.44,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,300.14,15.71,D,0.0
-4.52053,121.6625,335.58,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.28,5.38,D,0.0
-4.51998,121.66608,345.78,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.92,5.38,D,0.0
-2.69124,133.04582,339.83,0.71,0.75,2025-08-05,526,N20,VIIRS,n,2,285.63,12.57,D,0.0
-4.47633,121.94936,341.91,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,300.3,4.5,D,0.0
-4.64358,121.95686,330.15,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,297.54,1.67,D,0.0
-4.75202,122.00334,330.41,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,295.57,2.17,D,0.0
-4.55813,121.64252,335.39,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.96,3.32,D,0.0
-2.69095,133.04665,340.75,0.71,0.75,2025-08-05,526,N20,VIIRS,n,2,285.16,9.67,D,0.0
-4.4769,121.94569,334.42,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,299.81,4.5,D,0.0
-4.3218,122.22457,333.19,0.42,0.38,2025-08-05,526,N20,VIIRS,n,2,297.66,2.25,D,0.0
-2.48303,121.05746,334.09,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.12,1.75,D,0.0
-3.96412,119.77135,344.01,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,300.63,4.74,D,0.0
-0.84579,117.26743,345.87,0.42,0.38,2025-08-05,527,N20,VIIRS,n,2,294.3,5.03,D,0.0
-0.84923,117.26795,331.49,0.42,0.38,2025-08-05,527,N20,VIIRS,n,2,293.69,2.31,D,0.0
-5.39803,119.41815,333.87,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,298.77,1.97,D,0.0
-2.35643,119.58955,339.61,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,296.55,3.27,D,0.0
-2.36253,119.59395,336.09,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,299.7,9.16,D,0.0
-2.36201,119.59739,332.46,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,295.26,9.16,D,0.0
-3.86725,122.47083,329.65,0.43,0.38,2025-08-05,526,N20,VIIRS,n,2,294.31,2.59,D,0.0
-2.36583,119.59445,340.35,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,300.25,9.16,D,0.0
-2.7344,121.68538,329.08,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,293.03,2.32,D,0.0
-2.74014,121.69355,344.61,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,291.52,7.95,D,0.0
-2.87005,121.55633,334.26,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,296.46,7.67,D,0.0
-2.94719,121.41575,342.17,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,294.73,4.28,D,0.0
-2.95194,121.4754,333.1,0.4,0.37,2025-08-05,526,N20,VIIRS,n,2,296.29,4.23,D,0.0
-3.0198,121.65033,334.72,0.41,0.37,2025-08-05,526,N20,VIIRS,n,2,295.54,4.34,D,0.0
-2.36531,119.59789,333.97,0.38,0.36,2025-08-05,526,N20,VIIRS,n,2,295.2,9.16,D,0.0
-5.43682,119.47787,335.27,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,299.21,3.92,D,0.0
-8.45536,117.58224,338.28,0.48,0.4,2025-08-05,525,N20,VIIRS,n,2,303.28,3.95,D,0.0
-5.56108,119.4362,332.7,0.39,0.36,2025-08-05,525,N20,VIIRS,n,2,299.99,4.29,D,0.0
-8.56008,117.57906,339.65,0.48,0.4,2025-08-05,525,N20,VIIRS,n,2,305.91,2.98,D,0.0
-0.65792,117.39856,340.5,0.41,0.37,2025-08-05,527,N20,VIIRS,n,2,297.79,5.22,D,0.0
-8.44177,118.35942,339.71,0.44,0.39,2025-08-05,525,N20,VIIRS,n,2,303.48,6.84,D,0.0
-8.4487,118.31097,337.73,0.44,0.39,2025-08-05,525,N20,VIIRS,n,2,302.58,3.88,D,0.0
-8.46288,118.16066,331.96,0.45,0.39,2025-08-05,525,N20,VIIRS,n,2,300.05,8.24,D,0.0
-8.37013,118.67504,350.82,0.43,0.38,2025-08-05,525,N20,VIIRS,n,2,306.16,16.17,D,0.0
-8.36664,118.67456,353.24,0.43,0.38,2025-08-05,525,N20,VIIRS,n,2,308.41,16.17,D,0.0
-8.35115,118.75541,350.68,0.43,0.38,2025-08-05,525,N20,VIIRS,n,2,307.33,8.33,D,0.0
-8.36203,118.68169,338.54,0.43,0.38,2025-08-05,525,N20,VIIRS,n,2,306.72,4.65,D,0.0
-8.36315,118.67407,347.02,0.43,0.38,2025-08-05,525,N20,VIIRS,n,2,305.71,5.89,D,0.0
